# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_exon_region	variants_effect_intron_variant	variants_effect_splice_acceptor_variant+splice_donor_variant+splice_region_variant+3_prime_UTR_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_donor_variant+splice_region_variant+5_prime_UTR_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_donor_variant+splice_region_variant+intron_variant+exon_region	variants_effect_splice_acceptor_variant+splice_region_variant+3_prime_UTR_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_region_variant+5_prime_UTR_variant+intron_variant	variants_effect_splice_acceptor_variant+splice_region_variant+intron_variant+exon_region	variants_effect_splice_donor_variant+intron_variant	variants_effect_splice_donor_variant+splice_region_variant+5_prime_UTR_variant+intron_variant	variants_effect_splice_donor_variant+splice_region_variant+intron_variant+exon_region	variants_effect_splice_region_variant+exon_region	variants_effect_splice_region_variant+intron_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_DONOR	total_score_SPLICE_SITE_DONOR	length_SPLICE_SITE_DONOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM	bases_affected_UTR_3_PRIME	total_score_UTR_3_PRIME	length_UTR_3_PRIME	bases_affected_UTR_5_PRIME	total_score_UTR_5_PRIME	length_UTR_5_PRIME
GRMZM2G033962	GRMZM2G033962	GRMZM2G033962_T01	protein_coding	69	2	0	2	3	18	0	0	8	0	0	4	0	0	6	10	0	16	2	0	5000	3	0	697	18	0	2302	12	0	697	6	0	421	10	0	568	16	0	5000	2	0	463	0	0	0
GRMZM2G038783	GRMZM2G038783	GRMZM2G038783_T01	protein_coding	29	3	2	0	6	0	0	0	2	0	0	0	2	0	0	2	0	12	0	0	0	6	0	674	0	0	0	2	0	138	2	0	2	2	0	798	12	0	5000	3	0	353	2	0	162
GRMZM2G038783	GRMZM2G038783	GRMZM2G038783_T02	protein_coding	25	1	2	0	4	0	0	0	2	0	0	0	2	0	0	2	0	12	0	0	0	4	0	807	0	0	0	2	0	798	2	0	2	2	0	807	12	0	5000	1	0	600	2	0	162
GRMZM2G045275	GRMZM2G045275	GRMZM2G045275_T01	protein_coding	74	6	4	2	22	16	0	0	2	0	0	2	0	0	4	4	0	12	2	0	5000	22	0	467	16	0	2291	4	0	914	4	0	467	4	0	1617	12	0	5000	6	0	549	4	0	230
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T01	protein_coding	36	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T02	protein_coding	36	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T03	protein_coding	36	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T04	protein_coding	36	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T05	protein_coding	14	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045565	GRMZM2G045565	GRMZM2G045565_T01	protein_coding	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	5000	0	0	0	0	0	0
GRMZM2G050915	GRMZM2G050915	GRMZM2G050915_T01	protein_coding	6	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G050952	GRMZM2G050952	GRMZM2G050952_T01	protein_coding	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0
GRMZM2G067921	GRMZM2G067921	GRMZM2G067921_T01	protein_coding	32	4	2	2	6	0	0	0	0	2	0	0	0	0	2	4	0	10	2	0	5000	6	0	734	0	0	0	2	0	601	2	0	734	4	0	676	10	0	5000	4	0	601	2	0	194
GRMZM2G085218	GRMZM2G085218	GRMZM2G085218_T01	protein_coding	36	4	4	2	8	0	0	0	0	0	0	0	0	0	0	2	0	16	2	0	5000	8	0	1098	0	0	0	0	0	0	0	0	0	2	0	1098	16	0	5000	4	0	291	4	0	138
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T01	protein_coding	22	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T02	protein_coding	22	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T03	protein_coding	22	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G092174	GRMZM2G092174	GRMZM2G092174_T01	protein_coding	78	2	4	2	30	14	0	0	0	0	0	6	0	0	8	2	0	10	2	0	5000	30	0	2310	14	0	682	6	0	808	8	0	2310	2	0	278	10	0	5000	2	0	46	4	0	143
GRMZM2G095598	GRMZM2G095598	GRMZM2G095598_T01	protein_coding	34	4	4	2	8	0	0	0	0	0	0	2	0	0	2	2	0	10	2	0	5000	8	0	823	0	0	0	2	0	526	2	0	823	2	0	526	10	0	5000	4	0	184	4	0	202
GRMZM2G154565	GRMZM2G154565	GRMZM2G154565_T01	protein_coding	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G154565	GRMZM2G154565	GRMZM2G154565_T02	protein_coding	10	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G154580	GRMZM2G154580	GRMZM2G154580_T01	protein_coding	27	2	2	2	3	0	0	0	0	0	0	0	0	0	0	2	0	16	2	0	5000	3	0	895	0	0	0	0	0	0	0	0	0	2	0	895	16	0	5000	2	0	91	2	0	240
GRMZM2G179264	GRMZM2G179264	GRMZM2G179264_T01	protein_coding	42	4	2	2	4	4	0	0	4	0	0	2	0	0	2	2	0	16	2	0	5000	4	0	294	4	0	699	6	0	62	2	0	294	2	0	405	16	0	5000	4	0	175	2	0	99
GRMZM2G179274	GRMZM2G179274	GRMZM2G179274_T01	protein_coding	22	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G180190	GRMZM2G180190	GRMZM2G180190_T01	protein_coding	48	4	4	0	10	4	0	0	0	0	0	4	0	0	4	0	0	18	0	0	0	10	0	566	4	0	1188	4	0	413	4	0	566	0	0	0	18	0	5000	4	0	333	4	0	151
GRMZM2G323672	GRMZM2G323672	GRMZM2G323672_T02	protein_coding	16	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T01	protein_coding	10	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	2	0	181	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	2	0	181
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T02	protein_coding	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T03	protein_coding	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5000	0	0	0	0	0	0
GRMZM2G359322	GRMZM2G359322	GRMZM2G359322_T01	protein_coding	30	0	4	2	4	0	0	0	0	0	2	0	0	2	0	6	0	10	2	0	5000	4	0	149	0	0	0	2	0	133	2	0	149	6	0	149	10	0	5000	0	0	0	4	0	149
GRMZM2G381691	GRMZM2G381691	GRMZM2G381691_T01	protein_coding	50	0	0	2	2	16	0	0	0	0	0	2	0	0	2	2	0	24	2	0	5000	2	0	480	16	0	1832	2	0	243	2	0	480	2	0	243	24	0	5000	0	0	0	0	0	0
GRMZM2G384661	GRMZM2G384661	GRMZM2G384661_T01	protein_coding	8	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T01	protein_coding	59	1	7	0	7	10	0	2	2	0	2	0	2	0	4	8	0	14	0	0	0	7	0	622	10	0	1699	6	0	831	6	0	831	8	0	148	14	0	5000	1	0	244	7	0	683
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T02	protein_coding	57	1	7	0	6	18	0	2	0	0	2	0	1	0	0	6	0	14	0	0	0	6	0	647	18	0	2986	4	0	43	1	0	2	6	0	647	14	0	5000	1	0	244	7	0	683
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T03	protein_coding	55	1	7	0	6	20	0	2	0	0	0	0	1	0	0	4	0	14	0	0	0	6	0	588	20	0	3045	2	0	134	1	0	2	4	0	134	14	0	5000	1	0	244	7	0	683
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T04	protein_coding	53	1	5	0	4	18	0	2	0	0	2	0	1	0	0	6	0	14	0	0	0	4	0	690	18	0	2943	4	0	5	1	0	2	6	0	690	14	0	5000	1	0	244	5	0	622
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T05	protein_coding	53	1	5	0	4	18	0	2	0	0	0	0	1	0	0	4	2	16	0	0	0	4	0	622	18	0	3011	2	0	134	1	0	2	6	0	6	16	0	5000	1	0	244	5	0	602
GRMZM2G479987	GRMZM2G479987	GRMZM2G479987_T01	protein_coding	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5000	0	0	0	0	0	0
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T01	protein_coding	53	6	2	2	4	0	4	0	4	2	0	2	1	0	2	14	2	8	2	0	5000	4	0	1037	0	0	0	12	0	412	3	0	234	16	0	412	8	0	5000	6	0	412	2	0	525
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T02	protein_coding	45	2	2	2	4	2	0	0	6	2	0	2	1	0	2	10	2	8	2	0	5000	4	0	1037	2	0	442	10	0	184	3	0	234	12	0	412	8	0	5000	2	0	184	2	0	525
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T03	protein_coding	45	2	2	2	4	0	0	0	8	2	0	2	1	0	2	10	2	8	2	0	5000	4	0	1037	0	0	0	12	0	184	3	0	234	12	0	412	8	0	5000	2	0	184	2	0	525
