# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_missense_variant+splice_region_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_region_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_TRANSCRIPT	total_score_TRANSCRIPT	length_TRANSCRIPT	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM	bases_affected_UTR_3_PRIME	total_score_UTR_3_PRIME	length_UTR_3_PRIME	bases_affected_UTR_5_PRIME	total_score_UTR_5_PRIME	length_UTR_5_PRIME
GRMZM2G045275	GRMZM2G045275	GRMZM2G045275_T01	protein_coding	0	44	45	271	40	1	15	8	0	111	45	0	0	0	1	0	0	42	97	8	0	5000	87	0	467	111	0	2291	0	0	0	1	0	6	0	0	0	97	0	5000	40	0	549	16	0	230
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T01	protein_coding	0	0	0	185	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	185	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T02	protein_coding	0	0	0	185	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	185	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T03	protein_coding	0	0	0	185	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	185	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T04	protein_coding	0	0	0	185	0	0	0	185	0	0	0	0	0	0	0	0	0	0	0	185	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T05	protein_coding	0	0	0	89	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	89	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045565	GRMZM2G045565	GRMZM2G045565_T01	protein_coding	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5000	0	0	0	0	0	0
GRMZM2G050915	GRMZM2G050915	GRMZM2G050915_T01	protein_coding	0	0	0	30	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	30	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G050952	GRMZM2G050952	GRMZM2G050952_T01	protein_coding	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	5000	0	0	0	0	0	0
GRMZM2G067921	GRMZM2G067921	GRMZM2G067921_T01	protein_coding	0	4	4	92	15	0	2	3	0	1	4	0	0	0	0	0	0	4	71	3	0	5000	8	0	734	1	0	77	0	0	0	0	0	0	0	0	0	71	0	5000	15	0	601	2	0	194
GRMZM2G085218	GRMZM2G085218	GRMZM2G085218_T01	protein_coding	0	5	3	96	22	1	7	0	0	0	3	0	0	1	0	0	0	3	67	0	0	0	6	0	1098	0	0	0	0	0	0	1	0	3	0	0	0	67	0	5000	22	0	291	8	0	138
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T01	protein_coding	0	0	0	102	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	102	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T02	protein_coding	0	0	0	102	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	102	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T03	protein_coding	0	0	0	102	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	102	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G092174	GRMZM2G092174	GRMZM2G092174_T01	protein_coding	1	51	40	184	1	0	7	6	0	141	40	0	0	0	2	1	0	49	29	6	0	5000	90	0	2310	141	0	682	0	0	0	2	0	6	0	0	0	29	0	5000	1	0	46	7	0	143
GRMZM2G095598	GRMZM2G095598	GRMZM2G095598_T01	protein_coding	0	10	8	104	9	1	6	6	0	6	8	0	0	1	0	0	0	8	77	6	0	5000	16	0	823	6	0	158	0	0	0	1	0	3	0	0	0	77	0	5000	9	0	184	7	0	202
GRMZM2G154565	GRMZM2G154565	GRMZM2G154565_T01	protein_coding	0	0	0	130	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	130	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G154565	GRMZM2G154565	GRMZM2G154565_T02	protein_coding	0	0	0	130	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	130	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G154580	GRMZM2G154580	GRMZM2G154580_T01	protein_coding	0	44	34	86	6	4	30	14	0	0	34	0	0	0	0	0	0	40	36	14	0	5000	74	0	895	0	0	0	0	0	0	0	0	0	0	0	0	36	0	5000	6	0	91	34	0	240
GRMZM2G179264	GRMZM2G179264	GRMZM2G179264_T01	protein_coding	1	8	7	139	3	0	2	7	1	51	7	0	0	0	2	1	0	5	76	7	0	5000	13	0	294	51	0	203	0	0	0	2	0	6	1	0	294	76	0	5000	3	0	175	2	0	99
GRMZM2G179274	GRMZM2G179274	GRMZM2G179274_T01	protein_coding	0	0	0	102	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	102	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G180190	GRMZM2G180190	GRMZM2G180190_T01	protein_coding	0	14	8	97	15	0	5	0	0	24	8	0	0	0	1	0	0	13	53	0	0	0	21	0	566	24	0	151	0	0	0	1	0	6	0	0	0	53	0	5000	15	0	333	5	0	151
GRMZM2G323672	GRMZM2G323672	GRMZM2G323672_T02	protein_coding	0	0	0	91	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	91	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T01	protein_coding	0	0	0	30	0	0	2	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	5000	0	0	0	2	0	181
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T02	protein_coding	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	5000	0	0	0	0	0	0
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T03	protein_coding	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	5000	0	0	0	0	0	0
GRMZM2G359322	GRMZM2G359322	GRMZM2G359322_T01	protein_coding	1	6	2	113	0	2	12	2	0	19	2	0	1	0	1	0	0	3	80	2	0	5000	5	0	490	19	0	371	1	0	2	1	0	6	0	0	0	80	0	5000	0	0	0	14	0	149
GRMZM2G381691	GRMZM2G381691	GRMZM2G381691_T01	protein_coding	0	13	14	109	0	0	0	0	0	88	14	0	0	0	0	0	0	13	21	0	0	0	27	0	480	88	0	1832	0	0	0	0	0	0	0	0	0	21	0	5000	0	0	0	0	0	0
GRMZM2G384661	GRMZM2G384661	GRMZM2G384661_T01	protein_coding	0	0	0	28	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	28	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T01	protein_coding	1	33	15	238	13	10	56	0	0	85	15	0	1	0	2	0	0	21	84	0	0	0	36	0	622	85	0	298	1	0	2	2	0	6	0	0	0	84	0	5000	13	0	244	66	0	70
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T02	protein_coding	0	18	5	263	13	9	53	0	0	113	5	0	0	0	1	0	0	8	84	0	0	0	13	0	647	113	0	2986	0	0	0	1	0	6	0	0	0	84	0	5000	13	0	244	62	0	134
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T03	protein_coding	0	18	5	263	13	9	53	0	0	113	5	0	0	0	1	0	0	8	84	0	0	0	13	0	588	113	0	3045	0	0	0	1	0	6	0	0	0	84	0	5000	13	0	244	62	0	134
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T04	protein_coding	0	17	6	262	13	8	47	0	0	112	6	0	0	0	1	0	0	8	90	0	0	0	14	0	690	112	0	2943	0	0	0	1	0	6	0	0	0	90	0	5000	13	0	244	55	0	134
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T05	protein_coding	0	17	5	263	13	8	47	0	0	113	5	0	0	0	1	0	0	8	90	0	0	0	13	0	622	113	0	3011	0	0	0	1	0	6	0	0	0	90	0	5000	13	0	244	55	0	134
GRMZM2G479987	GRMZM2G479987	GRMZM2G479987_T01	protein_coding	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	5000	0	0	0	0	0	0
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T01	protein_coding	3	9	11	125	31	1	11	14	0	45	10	1	1	0	0	2	0	8	24	14	0	5000	21	0	92	45	0	342	1	0	2	0	0	0	0	0	0	24	0	5000	31	0	412	12	0	525
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T02	protein_coding	0	24	17	107	11	1	11	14	0	47	17	0	0	0	0	0	0	23	24	14	0	5000	40	0	412	47	0	342	0	0	0	0	0	0	0	0	0	24	0	5000	11	0	184	12	0	525
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T03	protein_coding	0	24	17	107	11	1	11	14	0	47	17	0	0	0	0	0	0	23	24	14	0	5000	40	0	412	47	0	342	0	0	0	0	0	0	0	0	0	24	0	5000	11	0	184	12	0	525
