# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_region_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM	bases_affected_UTR_3_PRIME	total_score_UTR_3_PRIME	length_UTR_3_PRIME	bases_affected_UTR_5_PRIME	total_score_UTR_5_PRIME	length_UTR_5_PRIME
GRMZM2G180190	GRMZM2G180190	GRMZM2G180190_T01	protein_coding	0	7	5	38	7	0	3	0	9	5	0	0	1	0	6	19	0	0	0	11	0	413	9	0	151	0	0	0	1	0	6	19	0	5000	7	0	333	3	0	151
GRMZM2G323672	GRMZM2G323672	GRMZM2G323672_T02	protein_coding	0	0	0	64	0	0	0	64	0	0	0	0	0	0	0	0	64	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T01	protein_coding	0	0	0	28	0	0	2	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	5000	0	0	0	2	0	181
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T02	protein_coding	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	5000	0	0	0	0	0	0
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T03	protein_coding	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	5000	0	0	0	0	0	0
GRMZM2G359322	GRMZM2G359322	GRMZM2G359322_T01	protein_coding	1	4	2	48	0	1	5	4	11	2	1	0	0	0	3	28	4	0	5000	5	0	490	11	0	371	1	0	2	0	0	0	28	0	5000	0	0	0	6	0	149
GRMZM2G381691	GRMZM2G381691	GRMZM2G381691_T01	protein_coding	0	4	6	61	0	0	0	0	56	6	0	0	0	0	4	5	0	0	0	10	0	480	56	0	1832	0	0	0	0	0	0	5	0	5000	0	0	0	0	0	0
GRMZM2G384661	GRMZM2G384661	GRMZM2G384661_T01	protein_coding	0	0	0	12	0	0	0	12	0	0	0	0	0	0	0	0	12	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T01	protein_coding	1	12	3	108	4	5	36	0	33	3	1	0	0	0	7	35	0	0	0	10	0	622	33	0	298	1	0	2	0	0	0	35	0	5000	4	0	244	41	0	70
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T02	protein_coding	0	10	0	113	4	4	35	0	39	0	0	0	0	0	6	35	0	0	0	6	0	647	39	0	2986	0	0	0	0	0	0	35	0	5000	4	0	244	39	0	134
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T03	protein_coding	0	10	0	113	4	4	35	0	39	0	0	0	0	0	6	35	0	0	0	6	0	588	39	0	3045	0	0	0	0	0	0	35	0	5000	4	0	244	39	0	134
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T04	protein_coding	0	10	0	113	4	4	31	0	39	0	0	0	0	0	6	39	0	0	0	6	0	690	39	0	2943	0	0	0	0	0	0	39	0	5000	4	0	244	35	0	134
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T05	protein_coding	0	10	0	113	4	4	31	0	39	0	0	0	0	0	6	39	0	0	0	6	0	622	39	0	3011	0	0	0	0	0	0	39	0	5000	4	0	244	35	0	134
GRMZM2G479987	GRMZM2G479987	GRMZM2G479987_T01	protein_coding	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	5000	0	0	0	0	0	0
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T01	protein_coding	2	8	14	52	12	1	2	9	26	14	1	0	0	1	7	3	9	0	5000	22	0	92	26	0	157	1	0	2	0	0	0	3	0	5000	12	0	412	3	0	525
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T02	protein_coding	2	12	12	50	7	1	2	9	29	12	0	0	0	2	11	3	9	0	5000	25	0	412	29	0	157	0	0	0	0	0	0	3	0	5000	7	0	184	3	0	525
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T03	protein_coding	2	13	13	48	7	1	2	9	27	13	0	0	0	2	12	3	9	0	5000	27	0	412	27	0	157	0	0	0	0	0	0	3	0	5000	7	0	184	3	0	525
