# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_acceptor_variant+intron_variant	variants_effect_splice_region_variant	variants_effect_splice_region_variant+intron_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_SPLICE_SITE_ACCEPTOR	total_score_SPLICE_SITE_ACCEPTOR	length_SPLICE_SITE_ACCEPTOR	bases_affected_SPLICE_SITE_REGION	total_score_SPLICE_SITE_REGION	length_SPLICE_SITE_REGION	bases_affected_UPSTREAM	total_score_UPSTREAM	length_UPSTREAM	bases_affected_UTR_3_PRIME	total_score_UTR_3_PRIME	length_UTR_3_PRIME	bases_affected_UTR_5_PRIME	total_score_UTR_5_PRIME	length_UTR_5_PRIME
GRMZM2G033962	GRMZM2G033962	GRMZM2G033962_T01	protein_coding	1	19	31	146	8	0	0	0	55	31	0	0	1	1	18	83	0	0	0	50	0	568	55	0	129	0	0	0	1	0	6	83	0	5000	8	0	463	0	0	0
GRMZM2G038783	GRMZM2G038783	GRMZM2G038783_T01	protein_coding	0	5	7	55	3	0	0	0	6	7	0	0	0	0	5	46	0	0	0	12	0	674	6	0	104	0	0	0	0	0	0	46	0	5000	3	0	353	0	0	0
GRMZM2G038783	GRMZM2G038783	GRMZM2G038783_T02	protein_coding	0	2	2	63	13	0	0	0	4	2	0	0	0	0	2	46	0	0	0	4	0	807	4	0	107	0	0	0	0	0	0	46	0	5000	13	0	600	0	0	0
GRMZM2G045275	GRMZM2G045275	GRMZM2G045275_T01	protein_coding	0	24	18	99	18	0	6	0	55	18	0	0	0	0	24	20	0	0	0	42	0	467	55	0	2291	0	0	0	0	0	0	20	0	5000	18	0	549	6	0	230
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T01	protein_coding	0	0	0	85	0	0	0	85	0	0	0	0	0	0	0	0	85	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T02	protein_coding	0	0	0	85	0	0	0	85	0	0	0	0	0	0	0	0	85	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T03	protein_coding	0	0	0	85	0	0	0	85	0	0	0	0	0	0	0	0	85	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T04	protein_coding	0	0	0	85	0	0	0	85	0	0	0	0	0	0	0	0	85	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G045318	GRMZM2G045318	GRMZM2G045318_T05	protein_coding	0	0	0	39	0	0	0	39	0	0	0	0	0	0	0	0	39	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G050915	GRMZM2G050915	GRMZM2G050915_T01	protein_coding	0	0	0	29	0	0	0	29	0	0	0	0	0	0	0	0	29	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G050952	GRMZM2G050952	GRMZM2G050952_T01	protein_coding	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	5000	0	0	0	0	0	0
GRMZM2G067921	GRMZM2G067921	GRMZM2G067921_T01	protein_coding	0	0	0	21	3	0	3	0	1	0	0	0	0	0	0	14	0	0	0	0	0	0	1	0	77	0	0	0	0	0	0	14	0	5000	3	0	601	3	0	194
GRMZM2G085218	GRMZM2G085218	GRMZM2G085218_T01	protein_coding	0	1	2	36	4	0	1	0	0	2	0	0	0	0	1	31	0	0	0	3	0	1098	0	0	0	0	0	0	0	0	0	31	0	5000	4	0	291	1	0	138
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T01	protein_coding	0	0	0	39	0	0	0	39	0	0	0	0	0	0	0	0	39	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T02	protein_coding	0	0	0	39	0	0	0	39	0	0	0	0	0	0	0	0	39	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G085246	GRMZM2G085246	GRMZM2G085246_T03	protein_coding	0	0	0	39	0	0	0	39	0	0	0	0	0	0	0	0	39	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G092174	GRMZM2G092174	GRMZM2G092174_T01	protein_coding	0	23	5	50	1	0	0	1	30	5	0	0	1	0	22	18	1	0	5000	27	0	2310	30	0	682	0	0	0	1	0	6	18	0	5000	1	0	46	0	0	0
GRMZM2G095598	GRMZM2G095598	GRMZM2G095598_T01	protein_coding	0	5	4	58	1	1	7	1	3	4	0	1	0	0	3	46	1	0	5000	7	0	823	3	0	158	0	0	0	1	0	3	46	0	5000	1	0	184	8	0	202
GRMZM2G154565	GRMZM2G154565	GRMZM2G154565_T01	protein_coding	0	0	0	22	0	0	0	22	0	0	0	0	0	0	0	0	22	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G154565	GRMZM2G154565	GRMZM2G154565_T02	protein_coding	0	0	0	22	0	0	0	22	0	0	0	0	0	0	0	0	22	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G154580	GRMZM2G154580	GRMZM2G154580_T01	protein_coding	0	7	6	9	3	0	1	5	0	6	0	0	0	0	7	0	5	0	5000	13	0	895	0	0	0	0	0	0	0	0	0	0	0	0	3	0	91	1	0	240
GRMZM2G179264	GRMZM2G179264	GRMZM2G179264_T01	protein_coding	0	4	0	44	0	0	1	1	8	0	0	0	0	0	4	34	1	0	5000	4	0	294	8	0	203	0	0	0	0	0	0	34	0	5000	0	0	0	1	0	99
GRMZM2G179274	GRMZM2G179274	GRMZM2G179274_T01	protein_coding	0	0	0	41	0	0	0	41	0	0	0	0	0	0	0	0	41	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G180190	GRMZM2G180190	GRMZM2G180190_T01	protein_coding	0	7	3	26	7	0	3	0	4	3	0	0	1	0	6	12	0	0	0	9	0	413	4	0	151	0	0	0	1	0	6	12	0	5000	7	0	333	3	0	151
GRMZM2G323672	GRMZM2G323672	GRMZM2G323672_T02	protein_coding	0	0	0	59	0	0	0	59	0	0	0	0	0	0	0	0	59	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T01	protein_coding	0	0	0	29	0	0	2	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	5000	0	0	0	2	0	181
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T02	protein_coding	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	5000	0	0	0	0	0	0
GRMZM2G352891	GRMZM2G352891	GRMZM2G352891_T03	protein_coding	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	5000	0	0	0	0	0	0
GRMZM2G359322	GRMZM2G359322	GRMZM2G359322_T01	protein_coding	1	4	2	42	0	1	4	3	12	2	1	0	0	0	3	23	3	0	5000	5	0	490	12	0	371	1	0	2	0	0	0	23	0	5000	0	0	0	5	0	133
GRMZM2G381691	GRMZM2G381691	GRMZM2G381691_T01	protein_coding	0	4	6	52	0	0	0	0	48	6	0	0	0	0	4	4	0	0	0	10	0	480	48	0	1832	0	0	0	0	0	0	4	0	5000	0	0	0	0	0	0
GRMZM2G384661	GRMZM2G384661	GRMZM2G384661_T01	protein_coding	0	0	0	7	0	0	0	7	0	0	0	0	0	0	0	0	7	0	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T01	protein_coding	1	9	3	92	5	2	23	0	31	3	1	0	0	0	7	33	0	0	0	10	0	622	31	0	298	1	0	2	0	0	0	33	0	5000	5	0	244	25	0	70
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T02	protein_coding	0	7	0	97	5	1	22	0	37	0	0	0	0	0	6	33	0	0	0	6	0	647	37	0	2986	0	0	0	0	0	0	33	0	5000	5	0	244	23	0	134
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T03	protein_coding	0	7	0	97	5	1	22	0	37	0	0	0	0	0	6	33	0	0	0	6	0	588	37	0	3045	0	0	0	0	0	0	33	0	5000	5	0	244	23	0	134
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T04	protein_coding	0	7	0	97	5	1	21	0	37	0	0	0	0	0	6	34	0	0	0	6	0	690	37	0	2943	0	0	0	0	0	0	34	0	5000	5	0	244	22	0	134
GRMZM2G405368	GRMZM2G405368	GRMZM2G405368_T05	protein_coding	0	7	0	97	5	1	21	0	37	0	0	0	0	0	6	34	0	0	0	6	0	622	37	0	3011	0	0	0	0	0	0	34	0	5000	5	0	244	22	0	134
GRMZM2G479987	GRMZM2G479987	GRMZM2G479987_T01	protein_coding	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	5000	0	0	0	0	0	0
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T01	protein_coding	2	6	13	45	8	1	2	9	25	13	1	0	0	1	5	1	9	0	5000	19	0	92	25	0	82	1	0	2	0	0	0	1	0	5000	8	0	412	3	0	525
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T02	protein_coding	2	11	7	46	6	1	2	9	28	7	0	0	0	2	10	1	9	0	5000	19	0	412	28	0	82	0	0	0	0	0	0	1	0	5000	6	0	184	3	0	525
GRMZM2G700665	GRMZM2G700665	GRMZM2G700665_T03	protein_coding	2	12	8	44	6	1	2	9	26	8	0	0	0	2	11	1	9	0	5000	21	0	412	26	0	82	0	0	0	0	0	0	1	0	5000	6	0	184	3	0	525
